FLDNAME	Compound.Name	SMILES	PubChemID	LipidName	Raw (beta)	Raw (95% CI)	Raw (95% CI)	Raw (pvalue)	Adjusted  (beta)	Adjusted (95% CI)	Adjusted (95% CI)	Adjusted (pvalue)
UCD.Lipid.1	Acylcarnitine C8:0	CXTATJFJDMJMIY-CYBMUJFWSA-N	31.4	UCD.Lipid.1	0.116989797534501	-0.0812782646421006	0.316724359934132	0.247621851068271	-0.00964481441139004	-0.244261889477915	0.22432888720826	0.935485076381842
UCD.Lipid.2	Acylcarnitine C8:1	YMIVWYONPRZBEJ-LXKVQUBZSA-N	20.4	UCD.Lipid.2	0.034196524988171	-0.159752456254	0.227824773249541	0.728702366603229	-0.0299777938172448	-0.252528550405423	0.191365137507964	0.790572082393524
UCD.Lipid.3	Acylcarnitine C10:1	GOOOCIIXFLVRAG-UHFFFAOYSA-N	25.2	UCD.Lipid.3	0.146689160340132	-0.0493577814627577	0.344637304936285	0.143423362415613	0.079696931113964	-0.143187173613916	0.302807377682422	0.482424401744805
UCD.Lipid.4	Acylcarnitine C12:0	FUJLYHJROOYKRA-QGZVFWFLSA-N	55.2	UCD.Lipid.4	0.226920575661539	0.0316961234546331	0.425682932120107	0.0236114483848522	0.159448512587779	-0.061699182500876	0.38354201785052	0.159245701728011
UCD.Lipid.5	Acylcarnitine C16:0	XOMRRQXKHMYMOC-OAQYLSRUSA-N	11.5	UCD.Lipid.5	0.0743589812860946	-0.117767821907949	0.267289376288812	0.44799415567348	0.113695953458702	-0.103591651104793	0.332586666407599	0.305573671189502
UCD.Lipid.6	Acylcarnitine C18:0	FNPHNLNTJNMAEE-UHFFFAOYSA-N	26.3	UCD.Lipid.6	0.0943083841294824	-0.0979758430659303	0.287719715139663	0.33673538807554	0.0872425919381134	-0.13202086032539	0.307623617956747	0.435575208513843
UCD.Lipid.7	Acylcarnitine C18:1	HITOYGLMAFIRNI-YSESTWPTSA-N	12.5	UCD.Lipid.7	0.123327523599143	-0.0693872694053633	0.317974431334338	0.210824778923049	0.0754887311759653	-0.145329778392716	0.297801787793531	0.503097492458969
UCD.Lipid.8	Acylcarnitine C18:2	MJLXQSQYKZWZCB-DQFWFXSYSA-N	12.4	UCD.Lipid.8	0.120619142723238	-0.0708928998312488	0.313727792620399	0.217971503713811	0.08260588756285	-0.137500771214168	0.30272848714186	0.460960109034351
UCD.Lipid.9	Acylcarnitine C18:3	DFVGGGHKDAHYIU-UHMZJXMFSA-N	5.8	UCD.Lipid.9	0.0780524243264826	-0.115540591157853	0.273120224274869	0.429923826089031	0.13038380976294	-0.08918341905413	0.352988109303152	0.246520624329182
UCD.Lipid.10	CE (16:1)	HODJWNWCVNUPAQ-FSAOOAOSSA-N	10.7	UCD.Lipid.10	-0.11116736709672	-0.305650738557416	0.0806986270597756	0.25823479332062	-0.0139153682474399	-0.246178306833665	0.217707235929089	0.906116778224499
UCD.Lipid.11	CE (18:1)	RJECHNNFRHZQKU-RMUVNZEASA-N	3.2	UCD.Lipid.11	-0.0440198740281442	-0.235755062556047	0.147093579302796	0.651436835068405	-0.0391272859139049	-0.273315552012678	0.194631979397132	0.742421664215828
