FLDNAME,Raw (beta),Raw (pvalue)
UCD.Lipid.1,0.116989798,0.247621851
UCD.Lipid.2,0.034196525,0.728702367
UCD.Lipid.3,0.14668916,0.143423362
UCD.Lipid.4,0.226920576,0.023611448
UCD.Lipid.5,0.074358981,0.447994156
UCD.Lipid.6,0.094308384,0.336735388
UCD.Lipid.7,0.123327524,0.210824779
UCD.Lipid.8,0.120619143,0.217971504
UCD.Lipid.9,0.078052424,0.429923826
UCD.Lipid.10,-0.111167367,0.258234793
UCD.Lipid.11,-0.044019874,0.651436835
UCD.Lipid.12,0.073152791,0.455750977
UCD.Lipid.13,-0.139535155,0.157345645
UCD.Lipid.14,-0.206368149,0.038802563
UCD.Lipid.15,-0.091674556,0.348056533
UCD.Lipid.16,-0.402959841,0.000151859
UCD.Lipid.17,-0.20154559,0.042758965
UCD.Lipid.18,0.116837196,0.233582785
UCD.Lipid.19,0.099866945,0.306013465
UCD.Lipid.20,0.128133269,0.194434418
UCD.Lipid.21,0.085985436,0.379252181
UCD.Lipid.22,-0.11215363,0.27760826
UCD.Lipid.23,-0.13652452,0.168664396
UCD.Lipid.24,0.025936077,0.79365833
UCD.Lipid.25,0.019420838,0.844502595
UCD.Lipid.26,0.08363305,0.401356656
UCD.Lipid.27,0.124519183,0.211713113
UCD.Lipid.28,-0.339542371,0.001327052
UCD.Lipid.29,-0.068157786,0.509736799
UCD.Lipid.30,0.011018929,0.911679797
UCD.Lipid.31,-0.34992481,0.000651684
UCD.Lipid.32,0.022642035,0.818068207
UCD.Lipid.33,-0.013373317,0.891307651
UCD.Lipid.34,0.132828845,0.176537578
UCD.Lipid.35,-0.143710363,0.161009593
UCD.Lipid.36,-0.012319254,0.899505277
UCD.Lipid.37,-0.074582704,0.461515935
UCD.Lipid.38,-0.037766951,0.699969461
UCD.Lipid.39,0.055457643,0.589855329
UCD.Lipid.40,-0.00841128,0.931571954
UCD.Lipid.41,-0.340760574,0.001096988
UCD.Lipid.42,-0.087584297,0.390690686
UCD.Lipid.43,-0.222155552,0.027545121
UCD.Lipid.44,-0.096899383,0.328393746
UCD.Lipid.45,0.054795307,0.577723443
UCD.Lipid.46,-0.351101272,0.000979745
UCD.Lipid.47,0.116823183,0.253965845
UCD.Lipid.48,-0.37813829,0.000269521
UCD.Lipid.49,-0.000859491,0.993004567
UCD.Lipid.50,-0.064475422,0.513726635
UCD.Lipid.51,0.213441826,0.032787818
UCD.Lipid.52,-0.100687573,0.325511291
UCD.Lipid.53,0.023861176,0.806703386
UCD.Lipid.54,-0.017529513,0.858414711
UCD.Lipid.55,0.19815006,0.045262279
UCD.Lipid.56,0.026032466,0.790441689
UCD.Lipid.57,-0.142273677,0.149511416
UCD.Lipid.58,0.237460628,0.017687152
UCD.Lipid.59,0.164964994,0.098025844
UCD.Lipid.60,-0.119272589,0.228113045
UCD.Lipid.61,0.145292159,0.151735621
UCD.Lipid.62,0.094015252,0.336719358
UCD.Lipid.63,-0.033852843,0.728316479
UCD.Lipid.64,0.047909411,0.623261178
UCD.Lipid.65,0.061766133,0.52868327
UCD.Lipid.66,-0.074061178,0.451877928
UCD.Lipid.67,-0.073530651,0.454162566
UCD.Lipid.68,0.188356989,0.055884731
UCD.Lipid.69,0.020679489,0.835592218
UCD.Lipid.70,0.124868706,0.202461476
UCD.Lipid.71,-0.302039056,0.003280866
UCD.Lipid.72,0.132922083,0.176385386
UCD.Lipid.73,0.094176901,0.338641052
UCD.Lipid.74,0.023472177,0.810707773
