"file id","ID","mx class id","mTIC","fTIC","label","species","organ","treatment","time","treatment_time","mx sample id"
"110625baasa12_1","19","69110 ","1727837","1693294","GLM-1","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucosamine  - 0.17 hr ","69111"
"110624baasa32_1","20","69110 ","1350112","1515965","GLM-2","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucosamine  - 0.17 hr ","69112"
"110624baasa07_1","21","69110 ","1329255","1783678","GLM-3","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucosamine  - 0.17 hr ","69113"
"110624baasa36_1","22","69110 ","1638626","1710429","GLM-4","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucosamine  - 0.17 hr ","69488"
"110625baasa26_1","23","69110 ","1615724","1593891","GLM-5","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucosamine  - 0.17 hr ","69489"
"110624baasa29_1","24","69110 ","1502645","1631247","GLM-6","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucosamine  - 0.17 hr ","69490"
"110625baasa04_1","1","69103 ","1497685","1501336","g10-0.17-1","Human","HepG2 cell","10mM Glucose","1hr","10mM Glucose  - 0.17 hr","69104"
"110625baasa11_1","2","69103 ","1610945","1729508","g10-0.17-2","Human","HepG2 cell","10mM Glucose","1hr","10mM Glucose  - 0.17 hr","69105"
"110625baasa27_1","3","69103 ","1483818","1265148","g10-0.17-3","Human","HepG2 cell","10mM Glucose","1hr","10mM Glucose  - 0.17 hr","69106"
"110624baasa30_1","4","69103 ","1481965","1691457","g10-0.17-4","Human","HepG2 cell","10mM Glucose","1hr","10mM Glucose  - 0.17 hr","69107"
"110624baasa23_1","5","69103 ","1488643","1632074","g10-0.17-5","Human","HepG2 cell","10mM Glucose","1hr","10mM Glucose  - 0.17 hr","69108"
"110625baasa14_1","6","69103 ","1429102","1652141","g10-0.17-6","Human","HepG2 cell","10mM Glucose","1hr","10mM Glucose  - 0.17 hr","69109"
"110624baasa15_1","1","69142 ","1577488","1847841","g10-1-1","Human","HepG2 cell","10mM Glucose","6hr","10mM Glucose  - 1 hr","69143"
"110624baasa12_1","2","69142 ","1257129","1788105","g10-1-2","Human","HepG2 cell","10mM Glucose","6hr","10mM Glucose  - 1 hr","69144"
"110624baasa46_1","3","69142 ","1684122","1650846","g10-1-3","Human","HepG2 cell","10mM Glucose","6hr","10mM Glucose  - 1 hr","69145"
"110625baasa19_1","4","69142 ","2118882","1691909","g10-1-4","Human","HepG2 cell","10mM Glucose","6hr","10mM Glucose  - 1 hr","69146"
"110625baasa03_1","5","69142 ","1631556","1600531","g10-1-5","Human","HepG2 cell","10mM Glucose","6hr","10mM Glucose  - 1 hr","69147"
"110625baasa22_1","6","69142 ","1935448","1660418","g10-1-6","Human","HepG2 cell","10mM Glucose","6hr","10mM Glucose  - 1 hr","69148"
"110624baasa20_1","1","69128 ","1730373","1801153","g10-6-1","Human","HepG2 cell","10mM Glucose","24hr","10mM Glucose  - 6 hrs","69129"
"110624baasa05_1","2","69128 ","1596809","1754302","g10-6-2","Human","HepG2 cell","10mM Glucose","24hr","10mM Glucose  - 6 hrs","69130"
"110625baasa21_1","3","69128 ","1396658","1512520","g10-6-3","Human","HepG2 cell","10mM Glucose","24hr","10mM Glucose  - 6 hrs","69131"
"110625baasa09_1","4","69128 ","1858295","1634728","g10-6-4","Human","HepG2 cell","10mM Glucose","24hr","10mM Glucose  - 6 hrs","69132"
"110624baasa42_1","5","69128 ","1704273","1577178","g10-6-5","Human","HepG2 cell","10mM Glucose","24hr","10mM Glucose  - 6 hrs","69133"
"110624baasa31_1","6","69128 ","1659241","1655263","g10-6-6","Human","HepG2 cell","10mM Glucose","24hr","10mM Glucose  - 6 hrs","69134"
"110624baasa03_1","1","69135 ","1913826","1673169","g10-24-1","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucose  - 24 hrs","69136"
"110624baasa47_1","2","69135 ","1597903","1454599","g10-24-2","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucose  - 24 hrs","69137"
"110624baasa33_1","3","69135 ","1764506","1573501","g10-24-3","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucose  - 24 hrs","69138"
"110624baasa35_1","4","69135 ","1594129","1700406","g10-24-4","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucose  - 24 hrs","69139"
"110624baasa24_1","5","69135 ","1739271","1581041","g10-24-5","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucose  - 24 hrs","69140"
"110625baasa18_1","6","69135 ","2067912","1744493","g10-24-6","Human","HepG2 cell","10mM Glucose","17hr","10mM Glucose  - 24 hrs","69141"
"110624baasa14_1","7","69114 ","1391003","1781751","G5-0.17-1","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69115"
"110625baasa25_1","8","69114 ","1850722","1762104","G5-0.17-2","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69116"
"110625baasa16_1","9","69114 ","1651094","1626025","G5-0.17-3","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69117"
"110624baasa50_1","10","69114 ","1407659","1576859","G5-0.17-4","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69118"
"110624baasa09_1","11","69114 ","1119746","1718348","G5-0.17-5","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69119"
"110624baasa34_1","12","69114 ","1427739","1715479","G5-0.17-6","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69120"
"110624baasa26_1","7","69121 ","1593745","1633858","G5-1-1","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69122"
"110624baasa22_1","8","69121 ","1511621","1716991","G5-1-2","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69123"
"110624baasa02_1","9","69121 ","1419319","1685116","G5-1-3","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69124"
